representation,feature_space,distance,model,accuracy,precision,recall,sensitivity,specificity,f1
Sampled spectra,FPCA (J=5),euclidean,Centroid,0.334,0.203,0.804,0.804,0.217,0.324
Sampled spectra,FPCA (J=5),euclidean,Medoid,0.554,0.225,0.509,0.509,0.565,0.312
Sampled spectra,FPCA (J=5),euclidean,kNN (k=5),0.817,0.576,0.304,0.304,0.945,0.398
Sampled spectra,FPCA (J=5),euclidean,Weighted kNN (k=5),0.813,0.554,0.321,0.321,0.936,0.407
Sampled spectra,FPCA (J=5),manhattan,Centroid,0.336,0.204,0.804,0.804,0.22,0.325
Sampled spectra,FPCA (J=5),manhattan,Medoid,0.565,0.233,0.518,0.518,0.576,0.321
Sampled spectra,FPCA (J=5),manhattan,kNN (k=5),0.812,0.545,0.321,0.321,0.933,0.404
Sampled spectra,FPCA (J=5),manhattan,Weighted kNN (k=5),0.815,0.559,0.339,0.339,0.933,0.422
Sampled spectra,FPCA (J=5),cosine,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=5),cosine,Medoid,0.739,0.368,0.438,0.438,0.814,0.4
Sampled spectra,FPCA (J=5),cosine,kNN (k=5),0.815,0.547,0.42,0.42,0.914,0.475
Sampled spectra,FPCA (J=5),cosine,Weighted kNN (k=5),0.803,0.505,0.438,0.438,0.894,0.469
Sampled spectra,FPCA (J=5),correlation,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=5),correlation,Medoid,0.698,0.287,0.348,0.348,0.785,0.315
Sampled spectra,FPCA (J=5),correlation,kNN (k=5),0.799,0.494,0.366,0.366,0.907,0.421
Sampled spectra,FPCA (J=5),correlation,Weighted kNN (k=5),0.762,0.388,0.339,0.339,0.867,0.362
Sampled spectra,FPCA (J=5),seuclidean,Centroid,0.787,0.462,0.429,0.429,0.876,0.444
Sampled spectra,FPCA (J=5),seuclidean,Medoid,0.734,0.392,0.616,0.616,0.763,0.479
Sampled spectra,FPCA (J=5),seuclidean,kNN (k=5),0.837,0.602,0.527,0.527,0.914,0.562
Sampled spectra,FPCA (J=5),seuclidean,Weighted kNN (k=5),0.838,0.606,0.536,0.536,0.914,0.569
Sampled spectra,FPCA (J=5),mahalanobis,Centroid,0.334,0.203,0.804,0.804,0.217,0.324
Sampled spectra,FPCA (J=5),mahalanobis,Medoid,0.554,0.225,0.509,0.509,0.565,0.312
Sampled spectra,FPCA (J=5),mahalanobis,kNN (k=5),0.819,0.578,0.33,0.33,0.94,0.42
