split,method_family,J,classifier,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j
rep0_fold0,FPCA,1,centroid,0.292695077894135,0.6404568285099259,0.010050251256281407,0.8198198198198198,0.25925925925925924,0.4247787610619469,0.5026642984014209,0.3939393939393939,0.24459858088176656
rep0_fold0,FPCA,1,knn,0.21451432752673347,0.524435940365144,0.005025125628140704,0.6486486486486487,0.21114369501466276,0.40486725663716816,0.45293072824156305,0.3185840707964602,0.053515905285816956
rep0_fold0,FPCA,1,weighted_knn,0.22128757875703914,0.5210376305509049,0.11557788944723618,0.46846846846846846,0.1925925925925926,0.5176991150442478,0.5079928952042628,0.27296587926509186,-0.013832416487283727
rep0_fold0,FPCA,1,lr,0.292695077894135,0.6404568285099259,0.010050251256281407,0.8198198198198198,0.25925925925925924,0.4247787610619469,0.5026642984014209,0.3939393939393939,0.24459858088176656
rep0_fold0,FPCA,1,linear_svm,0.292695077894135,0.6404568285099259,0.010050251256281407,0.8198198198198198,0.25925925925925924,0.4247787610619469,0.5026642984014209,0.3939393939393939,0.24459858088176656
rep0_fold0,FPLS,1,centroid,0.514751412220526,0.7273578888623136,0.20603015075376885,0.4774774774774775,0.4774774774774775,0.8716814159292036,0.7939609236234458,0.4774774774774775,0.34915889340668116
rep0_fold0,FPLS,1,knn,0.3764468013689368,0.6212827872119908,0.4020100502512563,0.2882882882882883,0.6153846153846154,0.9557522123893806,0.8241563055062167,0.39263803680981596,0.24404050067766891
rep0_fold0,FPLS,1,weighted_knn,0.37241637248396486,0.6068723590847485,0.19597989949748745,0.3963963963963964,0.2716049382716049,0.7389380530973452,0.6714031971580817,0.32234432234432236,0.13533444949374163
rep0_fold0,FPLS,1,lr,0.514751412220526,0.7273578888623136,0.20603015075376885,0.4774774774774775,0.4774774774774775,0.8716814159292036,0.7939609236234458,0.4774774774774775,0.34915889340668116
rep0_fold0,FPLS,1,linear_svm,0.514751412220526,0.7273578888623136,0.20603015075376885,0.4774774774774775,0.4774774774774775,0.8716814159292036,0.7939609236234458,0.4774774774774775,0.34915889340668116
rep0_fold0,FPCA,2,centroid,0.29871668434115994,0.6410747030216057,0.08040201005025126,0.8468468468468469,0.26256983240223464,0.415929203539823,0.5008880994671403,0.40085287846481876,0.26277605038666985
rep0_fold0,FPCA,2,knn,0.3201070950398451,0.688431794626485,0.005025125628140704,0.7747747747747747,0.2765273311897106,0.5022123893805309,0.5559502664298401,0.4075829383886256,0.27698716415530567
rep0_fold0,FPCA,2,weighted_knn,0.3215049806242653,0.6708323367615404,0.12060301507537688,0.7207207207207207,0.2962962962962963,0.5796460176991151,0.6074600355239786,0.4199475065616798,0.30036673841983585
rep0_fold0,FPCA,2,lr,0.41483572507855254,0.7413896197082037,0.38190954773869346,0.6306306306306306,0.36649214659685864,0.7323008849557522,0.7122557726465364,0.46357615894039733,0.3629315155863828
rep0_fold0,FPCA,2,linear_svm,0.42524617113443713,0.7484852108745914,0.36683417085427134,0.6306306306306306,0.4046242774566474,0.7721238938053098,0.7442273534635879,0.49295774647887325,0.4027545244359403
rep0_fold0,FPLS,2,centroid,0.6995019924723878,0.8732360679263335,0.3417085427135678,0.8108108108108109,0.4918032786885246,0.7942477876106194,0.7975133214920072,0.6122448979591837,0.6050585984214303
rep0_fold0,FPLS,2,knn,0.6515659894272559,0.8792553615562465,0.20100502512562815,0.7027027027027027,0.6046511627906976,0.8871681415929203,0.8507992895204263,0.65,0.5898708442956231
rep0_fold0,FPLS,2,weighted_knn,0.6670510725468308,0.8724388104919079,0.18090452261306533,0.7747747747747747,0.48863636363636365,0.8008849557522124,0.7957371225577264,0.5993031358885017,0.5756597305269873
rep0_fold0,FPLS,2,lr,0.7170589955977424,0.8858327353902575,0.2613065326633166,0.8198198198198198,0.610738255033557,0.8716814159292036,0.8614564831261101,0.7,0.6915012357490233
rep0_fold0,FPLS,2,linear_svm,0.7186041367904966,0.8849358207765288,0.2663316582914573,0.8378378378378378,0.5254237288135594,0.8141592920353983,0.8188277087033747,0.6458333333333334,0.6519971298732361
