Representation,J,Classifier,PR-AUC mean ± std,ROC-AUC mean ± std,Sensitivity mean ± std,Precision mean ± std,Specificity mean ± std,Accuracy mean ± std,F1 mean ± std,Youden J mean ± std
FPCA,1,centroid,0.2882 ± 0.0245,0.6310 ± 0.0227,0.8292 ± 0.0277,0.2560 ± 0.0095,0.4037 ± 0.0220,0.4880 ± 0.0182,0.3911 ± 0.0132,0.2329 ± 0.0341
FPCA,2,centroid,0.2955 ± 0.0255,0.6419 ± 0.0242,0.8487 ± 0.0333,0.2539 ± 0.0080,0.3829 ± 0.0267,0.4752 ± 0.0189,0.3907 ± 0.0114,0.2316 ± 0.0296
FPCA,3,centroid,0.2998 ± 0.0263,0.6495 ± 0.0239,0.8659 ± 0.0311,0.2600 ± 0.0093,0.3903 ± 0.0222,0.4845 ± 0.0180,0.3998 ± 0.0134,0.2562 ± 0.0352
FPCA,5,centroid,0.2998 ± 0.0263,0.6495 ± 0.0239,0.8661 ± 0.0310,0.2600 ± 0.0093,0.3903 ± 0.0223,0.4847 ± 0.0180,0.3999 ± 0.0133,0.2565 ± 0.0350
FPCA,10,centroid,0.2999 ± 0.0263,0.6496 ± 0.0239,0.8652 ± 0.0308,0.2605 ± 0.0094,0.3926 ± 0.0208,0.4863 ± 0.0174,0.4004 ± 0.0136,0.2578 ± 0.0358
FPCA,15,centroid,0.3000 ± 0.0263,0.6498 ± 0.0239,0.8674 ± 0.0312,0.2600 ± 0.0092,0.3893 ± 0.0225,0.4840 ± 0.0180,0.4000 ± 0.0132,0.2567 ± 0.0346
FPCA,1,knn,0.2311 ± 0.0152,0.5641 ± 0.0255,0.4637 ± 0.1785,0.2443 ± 0.0259,0.6321 ± 0.1729,0.5987 ± 0.1045,0.3074 ± 0.0334,0.0958 ± 0.0412
FPCA,2,knn,0.2970 ± 0.0205,0.6636 ± 0.0241,0.7161 ± 0.1221,0.2818 ± 0.0256,0.5384 ± 0.1065,0.5736 ± 0.0629,0.3986 ± 0.0194,0.2544 ± 0.0393
FPCA,3,knn,0.5042 ± 0.0393,0.7928 ± 0.0242,0.6810 ± 0.1159,0.4532 ± 0.0774,0.7746 ± 0.1126,0.7561 ± 0.0694,0.5310 ± 0.0378,0.4556 ± 0.0426
FPCA,5,knn,0.5182 ± 0.0396,0.7868 ± 0.0243,0.6217 ± 0.0747,0.4934 ± 0.0595,0.8335 ± 0.0735,0.7915 ± 0.0487,0.5449 ± 0.0417,0.4552 ± 0.0518
FPCA,10,knn,0.5394 ± 0.0402,0.7852 ± 0.0228,0.6054 ± 0.0424,0.5359 ± 0.0350,0.8698 ± 0.0162,0.8174 ± 0.0148,0.5678 ± 0.0324,0.4752 ± 0.0439
FPCA,15,knn,0.5709 ± 0.0394,0.8001 ± 0.0247,0.6093 ± 0.0460,0.5555 ± 0.0312,0.8791 ± 0.0143,0.8256 ± 0.0128,0.5804 ± 0.0313,0.4884 ± 0.0448
FPCA,1,linear_svm,0.2882 ± 0.0245,0.6310 ± 0.0227,0.8292 ± 0.0277,0.2560 ± 0.0095,0.4037 ± 0.0220,0.4880 ± 0.0182,0.3911 ± 0.0132,0.2329 ± 0.0341
FPCA,2,linear_svm,0.4106 ± 0.0377,0.7429 ± 0.0235,0.6258 ± 0.0512,0.3770 ± 0.0335,0.7413 ± 0.0424,0.7184 ± 0.0301,0.4690 ± 0.0299,0.3671 ± 0.0468
FPCA,3,linear_svm,0.6148 ± 0.0426,0.8377 ± 0.0193,0.7534 ± 0.0450,0.4486 ± 0.0365,0.7684 ± 0.0348,0.7654 ± 0.0254,0.5609 ± 0.0292,0.5218 ± 0.0435
FPCA,5,linear_svm,0.6167 ± 0.0426,0.8378 ± 0.0194,0.7340 ± 0.0585,0.4577 ± 0.0480,0.7801 ± 0.0432,0.7710 ± 0.0289,0.5606 ± 0.0303,0.5142 ± 0.0466
FPCA,10,linear_svm,0.6298 ± 0.0423,0.8418 ± 0.0190,0.7371 ± 0.0614,0.4754 ± 0.0555,0.7929 ± 0.0468,0.7818 ± 0.0308,0.5739 ± 0.0323,0.5301 ± 0.0464
FPCA,15,linear_svm,0.6564 ± 0.0425,0.8527 ± 0.0190,0.7248 ± 0.0548,0.5129 ± 0.0566,0.8249 ± 0.0402,0.8050 ± 0.0268,0.5970 ± 0.0317,0.5497 ± 0.0433
FPCA,1,lr,0.2882 ± 0.0245,0.6310 ± 0.0227,0.8292 ± 0.0277,0.2560 ± 0.0095,0.4037 ± 0.0220,0.4880 ± 0.0182,0.3911 ± 0.0132,0.2329 ± 0.0341
FPCA,2,lr,0.4055 ± 0.0376,0.7384 ± 0.0239,0.6771 ± 0.0502,0.3489 ± 0.0243,0.6858 ± 0.0360,0.6840 ± 0.0256,0.4596 ± 0.0253,0.3629 ± 0.0454
FPCA,3,lr,0.5502 ± 0.0460,0.8028 ± 0.0217,0.6574 ± 0.0851,0.4410 ± 0.0660,0.7818 ± 0.0735,0.7571 ± 0.0454,0.5198 ± 0.0324,0.4391 ± 0.0442
FPCA,5,lr,0.5511 ± 0.0461,0.8031 ± 0.0218,0.6522 ± 0.0816,0.4491 ± 0.0672,0.7902 ± 0.0728,0.7628 ± 0.0455,0.5241 ± 0.0342,0.4424 ± 0.0436
FPCA,10,lr,0.5548 ± 0.0462,0.8042 ± 0.0217,0.6538 ± 0.0822,0.4512 ± 0.0710,0.7900 ± 0.0768,0.7629 ± 0.0484,0.5254 ± 0.0352,0.4438 ± 0.0430
FPCA,15,lr,0.5606 ± 0.0466,0.8067 ± 0.0216,0.6600 ± 0.0832,0.4524 ± 0.0725,0.7887 ± 0.0767,0.7631 ± 0.0479,0.5279 ± 0.0343,0.4487 ± 0.0418
FPCA,1,weighted_knn,0.2430 ± 0.0207,0.5545 ± 0.0237,0.5928 ± 0.1455,0.2221 ± 0.0190,0.4807 ± 0.1322,0.5029 ± 0.0794,0.3166 ± 0.0324,0.0735 ± 0.0485
