family,model_name,distance,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,split
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7928334441965896,0.8865403013633102,0.22613065326633167,0.7477477477477478,0.7094017094017094,0.9247787610619469,0.8898756660746003,0.7280701754385965,0.6725265088096948,rep0_fold0
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7928514409058782,0.8865602327991708,0.2562814070351759,0.7477477477477478,0.7155172413793104,0.9269911504424779,0.8916518650088809,0.7312775330396476,0.6747388981902258,rep0_fold0
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8835804408002081,0.9387706290361157,0.21105527638190955,0.8558558558558559,0.7983193277310925,0.9469026548672567,0.9289520426287744,0.8260869565217391,0.8027585107231126,rep0_fold0
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5724521177568078,0.7586303117276567,0.24120603015075376,0.4774774774774775,0.4953271028037383,0.8805309734513275,0.8010657193605684,0.48623853211009177,0.35800845092880484,rep0_fold0
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5922404239805052,0.8155943554173641,0.34673366834170855,0.7387387387387387,0.41414141414141414,0.7433628318584071,0.7424511545293073,0.5307443365695793,0.48210157059714587,rep0_fold0
Distance-based functional,centroid,cosine,centroid + cosine,0.5914663281816828,0.8153352467511759,0.31155778894472363,0.7297297297297297,0.41968911917098445,0.7522123893805309,0.7477797513321492,0.5328947368421053,0.48194211911026064,rep0_fold0
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.6244632150430566,0.8428605596747191,0.3065326633165829,0.7837837837837838,0.4627659574468085,0.7765486725663717,0.7779751332149201,0.5819397993311036,0.5603324563501555,rep0_fold0
Distance-based functional,centroid,correlation,centroid + correlation,0.37326937463017096,0.682292912381408,0.3919597989949749,0.6846846846846847,0.29343629343629346,0.5951327433628318,0.6127886323268206,0.41081081081081083,0.2798174280475165,rep0_fold0
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.6958290950975372,0.8076616439448298,0.38190954773869346,0.6126126126126126,0.6868686868686869,0.9314159292035398,0.8685612788632326,0.6476190476190476,0.5440285418161523,rep0_fold1
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.6960576338310052,0.8076616439448298,0.36683417085427134,0.6126126126126126,0.6938775510204082,0.9336283185840708,0.8703374777975134,0.6507177033492823,0.5462409311966834,rep0_fold1
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7538765763116815,0.8486406760743044,0.3919597989949749,0.6846846846846847,0.8,0.9579646017699115,0.9040852575488455,0.7378640776699029,0.6426492864545961,rep0_fold1
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5237459803036442,0.6974208721996332,0.2562814070351759,0.44144144144144143,0.5104166666666666,0.8960176991150443,0.8063943161634103,0.47342995169082125,0.33745914055648574,rep0_fold1
