Source,Family,Method,Representation,Tuning,PR-AUC mean ± std,ROC-AUC mean ± std,Sensitivity mean ± std,Precision mean ± std,Specificity mean ± std,Accuracy mean ± std,F1 mean ± std,Youden J mean ± std
04 rerun,Functional linear,Functional linear SVM,L2-normalised sampled spectra,inner-CV C | mean best C=3.394,0.8641 ± 0.0283,0.9152 ± 0.0205,0.8297 ± 0.0328,0.7915 ± 0.0389,0.9455 ± 0.0126,0.9225 ± 0.0124,0.8096 ± 0.0286,0.7752 ± 0.0361
04 rerun,Functional linear,Functional logistic regression (L2),L2-normalised sampled spectra,inner-CV C | mean best C=0.01812,0.8620 ± 0.0288,0.9141 ± 0.0201,0.8306 ± 0.0327,0.7833 ± 0.0369,0.9428 ± 0.0117,0.9206 ± 0.0125,0.8058 ± 0.0290,0.7734 ± 0.0369
04 rerun,Functional linear,Functional logistic regression (L1),L2-normalised sampled spectra,inner-CV C | mean best C=200.3,0.8535 ± 0.0302,0.9112 ± 0.0199,0.8315 ± 0.0306,0.7604 ± 0.0525,0.9341 ± 0.0186,0.9137 ± 0.0163,0.7934 ± 0.0341,0.7656 ± 0.0365
04 rerun,Distance-based functional,weighted kNN + seuclidean,L2-normalised sampled spectra,k=5,0.8083 ± 0.0354,0.8910 ± 0.0201,0.7765 ± 0.0402,0.7736 ± 0.0432,0.9429 ± 0.0145,0.9099 ± 0.0118,0.7738 ± 0.0274,0.7194 ± 0.0380
04 rerun,Distance-based functional,weighted kNN + euclidean,L2-normalised sampled spectra,k=5,0.7368 ± 0.0406,0.8546 ± 0.0244,0.6855 ± 0.0414,0.7154 ± 0.0488,0.9315 ± 0.0166,0.8827 ± 0.0140,0.6987 ± 0.0319,0.6170 ± 0.0411
04 rerun,Distance-based functional,weighted kNN + cosine,L2-normalised sampled spectra,k=5,0.7367 ± 0.0405,0.8546 ± 0.0244,0.6858 ± 0.0424,0.7100 ± 0.0500,0.9295 ± 0.0184,0.8812 ± 0.0146,0.6961 ± 0.0314,0.6153 ± 0.0406
04 rerun,Distance-based functional,centroid + seuclidean,L2-normalised sampled spectra,class centroids,0.5738 ± 0.0412,0.7998 ± 0.0247,0.7348 ± 0.0372,0.4411 ± 0.0286,0.7687 ± 0.0244,0.7620 ± 0.0206,0.5507 ± 0.0281,0.5035 ± 0.0437
04 rerun,Distance-based functional,centroid + cosine,L2-normalised sampled spectra,class centroids,0.5393 ± 0.0438,0.7770 ± 0.0255,0.7208 ± 0.0362,0.3968 ± 0.0265,0.7279 ± 0.0259,0.7265 ± 0.0221,0.5114 ± 0.0273,0.4487 ± 0.0449
04 rerun,Distance-based functional,centroid + euclidean,L2-normalised sampled spectra,class centroids,0.5401 ± 0.0438,0.7772 ± 0.0256,0.7197 ± 0.0366,0.3965 ± 0.0267,0.7279 ± 0.0260,0.7263 ± 0.0223,0.5108 ± 0.0276,0.4476 ± 0.0454
04 rerun,Distance-based functional,weighted kNN + correlation,L2-normalised sampled spectra,k=5,0.5450 ± 0.0438,0.7289 ± 0.0244,0.4846 ± 0.0602,0.5246 ± 0.0608,0.8870 ± 0.0453,0.8072 ± 0.0311,0.5000 ± 0.0416,0.3716 ± 0.0506
04 rerun,Distance-based functional,centroid + correlation,L2-normalised sampled spectra,class centroids,0.3727 ± 0.0444,0.6774 ± 0.0312,0.7093 ± 0.0464,0.2780 ± 0.0165,0.5429 ± 0.0416,0.5758 ± 0.0295,0.3989 ± 0.0194,0.2522 ± 0.0425
